VERSE	LABEL
TIT.002.010	'should' Obligation
GEN.018.018	Definite Potential
JHN.002.004	Indicative
COL.001.009	Indicative
NEH.007.037	Indicative
GEN.019.008	Indicative
JON.004.009	Indicative
PHM.001.021	Definite Potential
GEN.040.021	Indicative
LUK.006.032	Indicative
NEH.006.011	'should' Obligation
EXO.021.012	'must' Obligation
1KI.018.009	Indicative
EXO.022.010	Indicative
EXO.021.026	Indicative
NEH.008.015	'should' Obligation
MAT.006.023	Indicative
GEN.030.032	Definite Potential
1KI.008.037	'might' Potential
1KI.008.037	'might' Potential
TIT.002.005	'should not' Obligation
EXO.012.016	'may' (permissive)
EXO.012.016	'should' Obligation
1TH.005.014	'should not' Obligation
1SA.023.002	'should' Obligation
GEN.024.023	'might' Potential
MRK.005.034	Indicative
NAM.001.014	Indicative
HAB.002.015	Indicative
MRK.003.012	Forbidden Obligation
EXO.012.006	'must' Obligation
LUK.016.028	Forbidden Obligation
JOS.001.014	'must' Obligation
MAT.028.012	Indicative
EST.008.005	Indicative
JHN.004.033	Indicative
LUK.023.005	'should' Obligation
EXO.025.003	'should' Obligation
2JN.001.007	Indicative
JOS.023.007	Forbidden Obligation
TIT.002.001	'should' Obligation
2SA.019.022	Indicative
2SA.019.022	Indicative
1SA.006.006	Indicative
MAT.005.043	'should' Obligation
2TH.002.002	'might' Potential
1SA.006.007	'should' Obligation
NEH.008.018	Indicative
RUT.004.006	Indicative
JDG.001.014	Indicative
GEN.002.016	'may' (permissive)
GEN.024.031	Indicative
JDG.019.011	'should' Obligation
EST.009.027	'should' Obligation
2SA.019.042	Indicative
JDG.009.028	Indicative
JDG.009.028	Indicative
EXO.016.004	'should' Obligation
ACT.001.020	Forbidden Obligation
2TH.002.003	Indicative
GEN.031.032	Indicative
1SA.029.009	Forbidden Obligation
PHP.002.022	Indicative
EXO.022.005	'might' Potential
PHM.001.003	Definite Potential
GEN.045.021	Indicative
JOL.003.010	'should' Obligation
COL.002.003	'might' Potential
COL.003.012	'should' Obligation
JON.001.007	Indicative
EXO.020.005	Forbidden Obligation
2SA.016.010	Indicative
EXO.025.004	'should' Obligation
MAL.001.014	Indicative
2JN.001.004	Indicative
1KI.020.002	Indicative
MRK.012.015	Indicative
JOL.002.014	'might' Potential
EXO.012.011	'should' Obligation
EXO.024.001	'should' Obligation
ACT.001.019	Indicative
REV.001.002	Indicative
2SA.006.007	Forbidden Obligation
REV.001.007	Definite Potential
EXO.019.011	'must' Obligation
EPH.001.011	Indicative
TIT.003.012	Indicative
COL.004.008	'might' Potential
JON.001.006	Indicative
EXO.021.027	Indicative
EXO.010.010	Indicative
PRO.001.008	'should not' Obligation
GEN.042.037	'may' (permissive)
MAT.003.008	'should' Obligation
GEN.046.034	'should' Obligation
TIT.002.012	'should not' Obligation
EST.001.019	Forbidden Obligation
EST.001.019	'should' Obligation
JDG.009.032	Indicative
GEN.034.004	Indicative
