reference	verse	book
Mark 12:14	The Pharisees and those people [who supported King _implicit Herod] came. And the Pharisees and those people [who supported King _implicit Herod] said to Jesus, ["Master/Teacher, we(Pharisees) _excl know [you(Jesus) are honest]]. And you(Jesus) do not worry about other people and the things _implicit [that those people think-E about _relation you(Jesus)]. For you(Jesus) treat all people fairly. Instead, you(Jesus) truly teach the people _implicit about the things [that God wants [people to do]]. (implicit-situational) So you(Jesus) (imp) please answer the following question. Do the religious _implicit laws allow [us(Jews) _incl to pay-C taxes to Caesar]? Or do the religious laws not allow [us(Jews) _incl to pay-C taxes to Caesar]?	Mark
Nehemiah 10:16	Adonijah, Bigvai, Adin,	Nehemiah
Matthew 6:1	(title) Jesus teach-how people [people to give money or other things to poor people]. (paragraph) You(people) (imp) be careful [when you(people) do good/righteous actions]. You(people) (imp) do not do those actions in-front-of other people [so that you(people) would be seen by other people]. [If you(people) do good/righteous actions [so that you(people) would be seen by other people],] your(people's) Father [who is in heaven] will not reward you(people).	Matthew
2 Samuel 23:34	Eliphelet was the son of Ahasbai. Eliphelet was from Maakah.Eliam was the son of Ahithophel. Eliam was from Giloh.	2_Samuel
Genesis 29:18	[Because Jacob loved Rachel] Jacob said to Laban, ["[If you(Laban) will allow [me(Jacob) to marry your(Laban's) younger daughter named Rachel]] I(Jacob) will work for you(Laban) for 7 years]."	Genesis
1 Samuel 6:9	Then you(Philistines) (imp) watch the wagon. [If the cows go toward Beth-Shemesh [which is in Israel]] Yahweh is punishing us(Philistines) with these problems. But [if the cows do not go toward Beth-Shemesh] Israel’s god did not punish us(Philistines). Instead we(Philistines) had these problems accidentally."	1_Samuel
Ruth 4:22	Obed had a son named Jesse. And Jesse had a son named David.	Ruth
2 Samuel 10:2	David thought, ["Nahash treated me(David) kindly.] So I(David) will treat Nahash’s son named Hanun kindly." Then David sent several officials to Ammon. David wanted [those officials to tell Hanun [that David was sad [because Hanun's father died]]].	2_Samuel
1 Samuel 14:32	The soldiers took many valuable things from the Philistines.  But the soldiers were extremely hungry [because the soldiers did not eat food on that day]. So the soldiers killed/butchered the sheep, cows, and young cows [that the soldiers took from the Philistines]. And the soldiers ate those animals and those animals’ blood.	1_Samuel
Matthew 24:34	I(Jesus) am telling you(followers) the truth. [When these events happen,] some _implicit people of this group/generation will certainly still be alive.	Matthew
1 Samuel 10:24	Then Samuel said to the people, ["You(Israelites) (imp) look at the man [who Yahweh chose]]. No man [who lives in Israel] is like Saul." Then the people shouted, ["We(Israelites) hope [that our(Israelites’) king named Saul will live for many years]]!"	1_Samuel
1 Samuel 21:8	David asked Ahimelek, ["Do you(Ahimelek) have a spear or a sword]? I(David) did not bring my(David's) sword or a weapon. I(David) need [to do this work for the king very quickly]."	1_Samuel
Joshua 1:7	So (imp) you(Joshua) be strong. And (imp) you(Joshua) be very brave. You(Joshua) (imp) carefully obey all of the laws [that Moses gave to you(Joshua)]. [If you(Joshua) obey those laws] you(Joshua) will always succeed.	Joshua
Mark 13:22	For false-B Christs and people [who tell false-B messages [that do not come from God] to people] will come. Those people will do signs-B and actions/miracles [that will surprise/amaze people] [in-order-to deceive people]. Those people will try [to deceive the people [whom the Lord-A chose-B [to be the Lord's-A people]]].	Mark
Joshua 1:14	Your(people's) wives, your(people's) children, and your(people's) animals may stay in this place. Moses gave this land [that is on the eastern side of the Jordan river] to you(people). But all of your(people’s) men [who are able [to fight]] must prepare [to fight]. Those men must go across the Jordan River first with those men's weapons. And you(people) must help your(people's) relatives [who are in the other tribes].	Joshua
Daniel 11:17	Then the king of the north region will lead the king's whole army to the south region [in order to make peace with the king of the south region]. The king of the north region will give a daughter to the king of the south region [so that the daughter could marry the king of the south region]. But the king of the north region will plan [to destroy the kingdom of the south region]. But the king's plan will fail.	Daniel
Genesis 13:16	I(Yahweh) will cause [you(Abram) to have many descendants].  No person will be able [to count your(Abram's) descendants] [just-like no person is able [to count all the dust [that is on the earth]]].	Genesis
Joshua 2:12	So (imp) you(men/spies) promise me(Rahab) [that you(men/spies) will be kind to my(Rahab's) family [just-like I(Rahab) was kind to you(men/spies)]]. And you(men/spies) (imp) promise Yahweh [that you(men/spies) will be kind to me(Rahab)].  You(men/spies) (imp) prove to me(Rahab) [that you(men/spies) will protect me(Rahab)].	Joshua
