reference	verse	book
1 Samuel 29:8	Then David said, ["But I(David) did not do bad things].  I(David) did not hurt a person [since I(David) came to you(Achish)]. My(David's) king, you(Achish) (imp) allow [me(David) to fight your(Achish's) enemies]."	1_Samuel
Mark 1:40	(title) Jesus causes [a man [who has a terrible disease of the skin] to become healthy]. (paragraph) One day _implicit a man [who had a terrible disease of the skin] came to Jesus. That man knelt in-front-of Jesus. And that man asked/beg, ["[If you(Jesus) are willing [(implicit-situational) to cause [me(man) to become healthy]],] you(Jesus) are able [to cause [me(man) to become clean]]"]. (footnote) Jewish law said [ people [who had terrible diseases of the skin] were not clean]. Those people were not able [to honor/worship God in the Jewish church]. And those people also were not able [to come close to other people].	Mark
Joshua 19:20	The tribe named Issachar also owned the towns named Rabbith, Kishion, and Ebez.	Joshua
Genesis 35:16	-Title Rachel dies [after Rachel births Benjamin]. Then Israel and the people [who were with Israel] left Bethel. [Before Israel arrived at Ephrathah] Rachel began birthing a baby.	Genesis
Matthew 19:13	(title) Jesus prays [God will bless children]. _paragraph Then people brought small children to Jesus [so that Jesus would put Jesus's hands on those children] [and so that Jesus would pray for those children]. But the followers/disciples of Jesus _implicit told those people [the thing [that those people did was bad]]. (implicit-situational) Those followers/disciples thought [those people were annoying/bother Jesus].	Matthew
2 Samuel 3:29	Joab killed Abner. I(David) hope [that Yahweh  will  punish Joab and Joab's family]. I(David) hope [that the people [who are in Joab's family] will always have sores and skin diseases]. And I(David) hope [that those people will always use a stick/crutch [in order to walk]]. And I(David) hope [that  soldiers will kill the people [who are in Joab's family] with swords]. And I(David) hope [that those people will  not  have food]."	2_Samuel
Matthew 20:13	_paragraph But that man answered one of those people/workers, ["Friend, I(man) am not cheating you(worker) _singular]. (yesrhetorical) Did you(worker) agree [to receive 1 denarius [after you(worker) work]]? (statement) You(worker) agreed [to receive 1 denarius [after you(worker) work]].	Matthew
Nehemiah 13:22	Then I(Nehemiah) commanded [the men [that were in the tribe named Levi] to cause [those men to become clean]]. And I(Nehemiah) told [those men to go to those gates before the seventh day of the week]. I(Nehemiah) also told [those men to guard those gates [so that the seventh day of the week would continue to be special/holy]]. My(Nehemiah's) God, you(God) (imp) remember me(Nehemiah) [because I(Nehemiah) did this thing also]. You(God) (imp) be merciful to me(Nehemiah) [because you(God) love your(God's) people much].	Nehemiah
Genesis 20:1	-Title Abraham deceive Abimelech. Abraham left Hebron. and Abraham traveled to a region named Negev. Then Abraham lived in a place [that was between Kadesh and between Shur] for a short time. Then Abraham moved to a city named Gerar.	Genesis
2 Samuel 12:9	Why did you(David) not obey me(Yahweh)? Why did you(David) do  an evil thing? You(David) killed Uriah [who was a Hittite] with a sword. And you(David) took Uriah's wife. You(David) killed Uriah with the Ammonites' sword.	2_Samuel
