reference	verse	book
Matthew 27:60	Then Joseph put the body in Joseph's new hole/tomb [that Joseph of the servants-B _metonymy had dug in the rock _inLDV of a hill _implicit]. (implicit-situational) There was not a body in that hole/tomb earlier. Then Joseph and other men _implicit rolled _inLDV a big _implicit stone in front of the entrance of that hole/tomb. And Joseph walk-away.	Matthew
Matthew 14:36	And those people asked/beg Jesus [Jesus to let those sick people touch the edge of Jesus's clothes/robe]. And all the sick people [who touched Jesus's clothes/robe] were healed by Jesus _implicitActiveAgent.	Matthew
Genesis 30:19	Later Leah became pregnant again. and Leah birthed a sixth son.	Genesis
Genesis 31:44	Therefore I(Laban) will allow [you(Jacob) to leave]. We(Laban) will make a treaty.  And We(Laban) will gather stones [in-order-to remind us(Laban) [that I(Laban) allowed [you(Jacob) to return to your(Jacob's) father with my(Laban's) daughters]] [and that you(Jacob) promised [to treat my(Laban's) daughters kindly]]]".	Genesis
Nehemiah 3:3	The sons of a man named Hassenaah repaired the gate-Fish. Those sons put doors in that gate.  And those sons put bars on that gate [so that people could lock those doors].	Nehemiah
Genesis 46:7	Jacob took Jacob's sons, Jacob's grandsons, Jacob's daughters, and Jacob's granddaughters to Egypt. Jacob took all the people [who were in Jacob's family] to Egypt with Jacob.	Genesis
Genesis 35:13	Then God left Israel.	Genesis
Esther 2:22	[While Mordecai was sitting near the gate] Mordecai heard [these two guards talking to each-other(guard) about the king]. So Mordecai told Esther [that these men wanted [to kill the king]]. Then Esther told the king about these men.	Esther
2 Samuel 18:4	The king said to those soldiers, ["Ok].  [If you(soldiers) think [that I(David) should stay at this place]] then I(David) will stay at this place." So the king stood near the gate [while all of the soldiers walked/marched out of the city]. Certain groups of soldiers had 100 soldiers. And other groups of soldiers had 1000 soldiers.	2_Samuel
Matthew 18:11	(footnote) Most copies/manuscripts of this part of the Scriptures do not include this verse. But some copies/manuscripts include here words that are similar to the words [that are in Luke 19:10].	Matthew
Matthew 19:12	For there are men [who were eunuchs [when those men were born]]. And there are men [who were caused by other people [to become eunuchs]]. (complex) And there are men [who choose [to live [just-like eunuchs live]] because of the kingdom-B of heaven]. (simple) And there are men [who choose [to live [just-like eunuchs live]] [because those men want [to serve-A God] [just-like (implicit-situational) eunuchs might serve-A God]]]. A person [who is able [to accept these words]] should accept these words."	Matthew
Matthew 13:31	(title) Jesus tells a story/parable [that is about a seed-mustard]. _paragraph Jesus told another parable to Jesus's followers/disciples. (complex) Jesus said, ["The kingdom-B of heaven is-U like a seed-mustard [that a man planted in a man's field]]. (simple) Jesus said, ["The number of people [who become God's children] increases [just-like a seed-mustard [that a man planted in that man's field] grows]].	Matthew
1 Samuel 8:1	(title) The Israelites want a king. [When Samuel became old] Samuel chose/appointed [Samuel's sons to become the Israelites’ leaders].	1_Samuel
2 Samuel 22:34	God causes [my(David’s) feet to be like a deer’s feet]. God causes [me(David) stand on high mountains].	2_Samuel
Matthew 21:14	_paragraph Blind people and lame people came to Jesus [while Jesus was in that building/temple]. And Jesus healed those people.	Matthew
Genesis 23:5	The Hittites answered Abraham, ["Yes.]	Genesis
Matthew 19:6	Then-D those people are not 2 people. Those people are 1 body. [Because God joined-B that man to that man's wife,] you(Pharisees) (imp) do not let [a person separate that man from that man's wife]."	Matthew
Joshua 21:20	The Israelites also gave towns [that the tribe named Ephraim owned] to the other families [that were Kohath’s descendants].	Joshua
Joshua 11:10	Then Joshua went to Hazor. And Joshua defeated the people [who were living in that city]. Then Joshua killed the king of Hazor. ( Previously the king of Hazor lead those other kings [who fought the Israelites]. )	Joshua
Genesis 3:13	Then God said to the woman, ["What did you(Eve) do?"]  The woman answered, ["The snake tricked me(Eve).] and I(Eve) ate the fruit."	Genesis
2 Samuel 1:5	David said to that young man, ["How do you(man) know [that Saul and Saul’s son named Jonathan are dead]?"]	2_Samuel
Genesis 12:10	-Title Abram goes to Egypt. At that time there was a famine in Canaan. so Abram went to Egypt.	Genesis
Matthew 21:2	Jesus said to those 2 followers/disciples, ["You(followers) _dual (imp) go to the village [that is in-front-of you(followers) _dual]]. And [when you(followers) _dual enter that village] you(followers) _dual will immediately find-A a horse/donkey [that was tied-B with a rope _implicit to a post _implicit]. That horse/donkey will be with that horse's/donkey young horse/donkey there. You(followers) _dual (imp) untie that horse/donkey . And you(followers) _dual (imp) bring-C that horse/donkey and that horse's/donkey young horse/donkey to me(Jesus).	Matthew
Ruth 2:6	That leader answered Boaz, ["That woman is from Moab].  That woman came from Moab to this place with Naomi.	Ruth
Joshua 18:19	Then the border went to Beth-Hoglah. Then the border went to the northern side of the sea-Dead. The Jordan River flows into the sea-Dead at that place. That place was the southern border of that region.	Joshua
Genesis 8:5	The water continued to become less deep.  Noah was able [to see the top of the mountains] on the first day of the tenth month.	Genesis
Daniel 9:17	So God, you(God) (imp) listen to our(people's) prayers now. I(Daniel) am your(God's) servant. You(God) (imp) listen to my(Daniel's) prayers [so that other people will know [that you(God) are God]]. Lord, you(Lord) (imp) be kind to your(Lord's) holy place [because no person lives at that place now].	Daniel
Mark 15:27	(paragraph) The soldiers _frameInferable put 2 dangerous thieves on crosses beside Jesus. One person/thief was on-C Jesus's right side. And the other person/thief was on-C Jesus's left side.	Mark
Matthew 7:29	For Jesus did not teach those things _implicit to the people [just-like those people's scribes teach things _implicit to those people _implicit]. Instead, [when Jesus taught those things _implicit,] Jesus had authority .	Matthew
Joshua 11:14	The Israelites took all of the valuable things [that were in those cities]. And the Israelites took all of the animals [that were in those fields]. But the Israelites killed all of the people [who were living in those cities].  All of the people were dead [after the Israelites defeated those people].	Joshua
Acts 21:35	[When Paul came to the stairs [that go up to the building [where soldiers sleep],] the people tried [to hurt Paul]. So the soldiers must carry Paul into the building [where the soldiers sleep].	Acts
Ruth 3:17	Ruth said, ["Boaz gave these six liters of grain/barley to me(Ruth).] And Boaz said to me(Ruth), ["You(Ruth) (imp) take a gift to your(Ruth's) mother-in-law.""]	Ruth
Mark 14:38	You(Peter) _plural (imp) continue to be awake. And you(Peter) _plural (imp) pray [so that you(Peter) _plural will not want [to do bad-B things _generic]]. (literal) The spirit-A _frameInferable is willing [(implicit-situational) to do good things]. (dynamic) You(Peter) _plural want [to do the right thing _implicit]. (literal) But the body _frameInferable is weak [(implicit-situational) so that the body could not do good things]. (dynamic) But your(Peter's) _plural bodies are weak [(implicit-situational) so that you(Peter) _plural could not do good things]."	Mark
Genesis 22:1	-Title God tests Abraham. Later God tested Abraham. God seek-attention Abraham. and Abraham give-attention to God.	Genesis
Matthew 6:32	(literal) For the Gentiles continuously search these things. (dynamic) For the people [who do not know God] continuously search these things. But your(people’s) Father [who is in heaven] knows [you(people) need all these things ].	Matthew
Matthew 10:17	You(disciples) (imp) watch-out. You(disciples) will be taken by people _implicitActiveAgent to the courts of towns _implicit and villages _implicit. And you(disciples) will be whipped by people _implicitActiveAgent in the synagogues of those places _implicit.	Matthew
1 Samuel 23:10	Then David prayed, ["Yahweh, you(Yahweh) are the God of Israel]. And I(David) am your(Yahweh's) servant.  I(David) heard [that Saul is definitely coming to this place [in-order-to kill me(David)]]. Saul will destroy this town [because I(David) am in this town].	1_Samuel
Matthew 14:23	[After Jesus sent the crowd from that place,] Jesus go-up on a mountain [in-order-to pray]. Later in-E that night, Jesus was still _implicit there alone.	Matthew
Nehemiah 12:18	Shammua was the leader of the family of Bilgah. Jehonathan was the leader of the family of Shemaiah.	Nehemiah
Joshua 7:13	Now (imp) you(Joshua) go! And (imp) you(Joshua) command [the people to become holy for me(Yahweh)]. The people must clean themselves(Israelites). (imp) you(Joshua) say to the people, ["(imp) you(people) clean yourselves(people) for Yahweh]. Yahweh will come to you(people) tomorrow. The God of the Israelites named Yahweh says [that some people kept things [that were in Jericho]]. You(people) will not defeat your(people's) enemies [until you(people) destroy those things].	Joshua
2 Samuel 23:35	Hezro was from Carmel. Paarai was from Arab.	2_Samuel
Matthew 14:20	All the people ate bread _implicit and fish _implicit [until those people were satisfied]. Then the followers/disciples gathered the food _implicitNecessary [that was not eaten by the people _implicitActiveAgent]. And the followers/disciples filled 12 baskets with pieces of food _implicit.	Matthew
Matthew 16:4	A group/generation [who is evil] [and who is not faithful to God _implicit] asks for a sign/miracle. But a sign/miracle will not be shown by me(Jesus) _implicitActiveAgent to this group/generation except the sign/miracle [that was done by God _implicitActiveAgent for the prophet named Jonah]." Then Jesus left those Pharisees and those Sadducees. And Jesus walk-away.	Matthew
1 Samuel 14:13	So Jonathan climbed up the mountain/cliff [by using Jonathan's hands and feet]. And the young soldier [that carried Jonathan's shield] also climbed up the mountain/cliff behind Jonathan. Then Jonathan started killing the Philistine soldiers. And the young soldier [that carried Jonathan’s shield] also killed Philistine soldiers.	1_Samuel
Matthew 7:23	Then (literal) I(Jesus) will tell those people clearly, [" I(Jesus) never knew-A you(people)]. Then (dynamic) I(Jesus) will tell those people clearly,  [" I(Jesus) never had a relationship with you(people)]. You(people) [who do evil things], you(people) (imp) leave me(Jesus)!"	Matthew
1 Samuel 1:23	Hannah's husband named Elkanah said to Hannah, ["You(Hannah) may stay at our(Elkanah's) house [until the boy is able [to eat food]]]. I(Elkanah) hope [that Yahweh will help you(Hannah)]." So Hannah stayed at Hannah's house [in order to feed/nurse Hannah's son]. Hannah fed/nursed Hannah's son [until Hannah's son was able [to eat food]].	1_Samuel
Genesis 19:2	Lot said to the 2 angels, ["Please you(angels) (imp) come to my(Lot's) house.] You(angels) (imp) sleep at my(Lot's) house tonight. You(angels) will be able [to wash your(angels’) feet]. Then tomorrow you(angels) will continue traveling." The 2 angels answered Lot, ["No.]  We(angels) will sleep in the place [where the people [who live in this city] meet].	Genesis
Genesis 41:22	Later I(king) dreamed again. I(king) saw [wheat growing in a field]. I(king) saw 7 plants [that were big].  Those 7 plants had much grain.	Genesis
Matthew 22:38	This command/commandment is the greatest command/commandment. And this command/commandment is the most important command/commandment.	Matthew
Esther 7:1	So the king and Haman went to the feast [that Esther prepared].	Esther
Genesis 33:4	Then Esau ran to Jacob. and Esau hugged Jacob. Then Esau kissed Jacob. and Esau and Jacob cried.	Genesis
