reference	verse	book
Genesis 14:1	-Title The king of Elam captures Lot. at-that-time a man named Amraphel was the king of Babylonia. and Arioch was the king of Ellasar. and Kedorlaomer was the king of Elam.  and Tidal was the king of Goiim.	Genesis
Matthew 27:6	_paragraph The chief priests pick-up the coins. And the chief priests said, ["The religious laws do not allow [us(priests) to put this money into the box [that people _generic put money [that is for the building/temple] into]]]. For this money was used [so that a person would be killed by people _implicitActiveAgent]."	Matthew
2 Samuel 10:5	A person told David [that Hanun treated David's officials badly]. So David sent messengers to those officials. Those officials were very ashamed/humiliated [because (implicit-info) Hanun treated those officials badly].  The king said, ["(imp) You(officials) stay in Jericho [until your(officials') beards grow]]. Then (imp) you(officials) return to Jerusalem."	2_Samuel
Genesis 23:11	and Ephron said, ["My(Ephron's) master, no].  I(Ephron) will not sell the land to you(Abraham).  I(Ephron) will give the land and the cave [that is on the land] to you(Abraham). These people witness [that I(Ephron) give the land to you(Abraham)]. You(Abraham) (imp) bury your(Abraham's) wife in that cave."	Genesis
1 Samuel 23:4	So David again asked Yahweh, ["Should I(David) attack those Philistines?]" Then Yahweh answered, ["You(David) (imp) go to Keilah]. I(Yahweh) will help [you(David) defeat the Philistines]."	1_Samuel
Genesis 21:28	Abraham also put 7 female sheep in-front-of Abimelech.	Genesis
1 Samuel 27:3	David and those men lived in Gath with king Achish.  Those men brought those men’s families to Gath.  And David's two wives were with David in Gath.  One wife’s name was Ahinoam. Ahinoam was from Jezreel. And the other wife’s name was Abigail. Abigail was from Carmel. Abigail was previously Nabal’s wife.	1_Samuel
Nehemiah 9:2	The people of Israel had separated _reflexive those people from all people [who were from foreign countries]. Those people stood. And those people admitted/confessed [that those people had done bad _morally things]. And those people also admitted [that the parents/ancestors of those people did bad _morally things].	Nehemiah
Mark 4:37	Then a very strong wind started to blow over the lake _implicit. And the waves _frameInferable came over the sides of the boat [so that the boat was almost full of water _implicit].	Mark
2 Samuel 2:20	[While Abner was run-away from Asahel] Abner looked at Asahel. Then Abner asked, ["Are you(Asahel) Asahel?"] Asahel said, ["Yes."]	2_Samuel
