reference	verse	book
Genesis 22:20	Later a person said to Abraham, ["Your(Abraham's) brother named Nahor and the wife of Nahor named Milcah have children now].	Genesis
Mark 13:34	The Son-of-man _1stas3rd _implicitNecessary will be like a man [who travels to a place [that is far-away-from that man's house]]. [Before that man leaves that man's house,] that man will tell that man's servants/slave [that man's servants/slave to care-C for that man's property]. And that man will tell each servant/slave about the work [that that servant/slave should do]. And that man will tell the servant/slave [who guards-B the door _frameInferable] [the servant/slave to be ready-C [(implicit-situational) that man to return]].	Mark
Nehemiah 7:11	2818 men [that were from Pahath-Moab] returned. (These men were descendants of Jeshua and Joab.)	Nehemiah
Genesis 43:26	[after Joseph arrived at that house] the brothers gave the gifts [that the brothers brought from Canaan] to Joseph. Then the brothers bowed to Joseph.	Genesis
Joshua 24:24	Then the people said to Joshua, ["We(people) will serve our(people's) God named Yahweh].  And we(people) will obey Yahweh."	Joshua
Acts 18:3	Aquila and Priscilla made tents.  Paul also made tents, so Paul stayed with Aquila and Priscilla. And Paul worked with Aquila and Priscilla.	Acts
1 Samuel 18:1	(title) Saul becomes afraid of David. [After David finished talking to Saul] Jonathan became David’s friend. Jonathan loved David very much.	1_Samuel
1 Samuel 23:9	But David heard [that Saul was planning [to come to Keilah [in-order-to kill David]]]. So David said to Abiathar, ["You(Abiathar) (imp) bring the special clothes [that the priests wear] to me(David)]."	1_Samuel
Nehemiah 9:4	Some of the people of Levi were standing on the stairs. Those people were Jeshua, Bani, Kadmiel, Shebaniah, Bunni, Sherebiah, Bani and Kenani. Those people cried out loudly to Yahweh [who was the God of those people].	Nehemiah
Mark 15:39	A Roman officer was standing in-front-of Jesus.  [When that Roman officer saw [Jesus die]] the Roman officer said, ["This man was certainly the Son of God!"] (footnote) Some copies/manuscripts of this part of the Scriptures say, ["A Roman officer was standing in-front-of Jesus.]  [When that Roman officer saw [Jesus die],] [and when that Roman officer heard [Jesus shout],] that Roman officer said, ["This man was certainly the Son of God!"].	Mark
Acts 16:12	Then we(disciples) left that place. And we(disciples) walked to a city named Philippi. We(disciples) stayed in Philippi several days. Philippi is an important city in that area named Macedonia. And the Roman ruler rules over Philippi.	Acts
Matthew 27:44	Similarly the thieves [who were put on crosses _dual by soldiers _implicitActiveAgent beside Jesus] also much insulted Jesus.	Matthew
2 Samuel 7:8	So you(Nathan) (imp) say to my(Yahweh's) servant named David, ["Yahweh-Almighty says to you(David), ["I(Yahweh) took you(David) from the field [that you(David) were taking care of sheep in]]]. And I(Yahweh) chose/appointed [you(David) to become the leader of the Israelites]. The Israelites are my(Yahweh's) people.	2_Samuel
Genesis 29:14	Then Laban said to Jacob, ["You(Jacob) are my(Laban's) relative.] I(Laban) am very happy [because you(Jacob) came to my(Laban's) house]!”  Then Jacob lived in the house of Laban.	Genesis
Nehemiah 10:12	Zakkur, Sherebiah, Shebaniah,	Nehemiah
Mark 8:10	Then Jesus immediately went into a boat with Jesus's followers/disciples. And Jesus went with those followers/disciples _implicit to the area/region of Dalmanutha.	Mark
1 Samuel 12:23	And I(Samuel) will certainly continue praying for you(Israelites). [If I(Samuel) were to stop praying for you(Israelites),] I(Samuel) would be sinning against Yahweh. I(Samuel) will teach you(Israelites) about things [that are good] and things [that are right].	1_Samuel
Daniel 10:14	I(man) came to you(Daniel) [in order to help [you(Daniel) understand this vision]]. This vision is about things [that will happen to your(Daniel's) people in the future]."	Daniel
Mark 3:34	(paragraph) Then Jesus looked at the people [who were sitting around Jesus]. And Jesus said, ["My(Jesus's) mother and my(Jesus's) brothers are here!]	Mark
Genesis 4:26	[After Seth grew up] Seth had a son named Enosh.  At that time people began to pray to God.	Genesis
Mark 12:24	(paragraph) (yesrhetorical) Jesus asked those Sadducees, [" Are you(Sadducees) making _imperfectiveNotBackgrounded a mistake [because you(Sadducees) do not understand the Scriptures or God's power]?] (statement) Jesus said to those Sadducees, ["You(Sadducees) are making _imperfectiveNotBackgrounded a mistake [because you(Sadducees) do not understand the Scriptures or God's power]].	Mark
Genesis 2:24	Therefore a man will leave the father of the man and the mother of the man [in-order-to marry a woman].  God joins the man and the woman into one body.	Genesis
Genesis 3:4	But the snake said to the woman, ["You(Eve) will certainly not die!]	Genesis
Joshua 12:23	The Israelites defeated the king of Dor [which was in Naphoth-Dor] and the king of Goyim [which was in Gilgal].	Joshua
Matthew 7:8	For each person [who asks for a thing _implicit] will receive that thing _implicit. And the person [who searches a thing _implicit] will find that thing _implicit. And a door _implicitNecessary will be opened by God _implicitActiveAgent for the person [who knocks on a door _implicit].	Matthew
