reference	verse	book
Genesis 24:20	So Rebekah quickly poured all the water [that was in  Rebekah's jar] into the trough for the camels. Then Rebekah repeatedly ran to the well. And Rebekah brought water from the well to the camels [until all the camels finished drinking water].	Genesis
Genesis 29:30	Then Jacob sexed Rachel. Jacob loved Rachel [more-than Jacob loved Leah]. Then Jacob worked for Laban for 7 more years.	Genesis
Genesis 47:4	Then These 5 brothers said to the king, ["We(brothers) came to Egypt [in-order-to live in this country]].  There is no grass in Canaan now.  So our(brothers') animals do not have the food [that our(brothers') animals eat]. All the people [who live in Canaan] and all the animals [that live in Canaan] are very hungry. Therefore please you(king) (imp) allow [us(brothers) to live in Goshen]."	Genesis
Titus 1:10	Paul (title) warns Titus about people [who teach people false things]. Many people oppose God's message. Those people say many things. But those things are not valuable. Those people deceive people. Most  of those people teach people [that all men should allow a priest [to cut off the foreskins of those men]].	Titus
Genesis 11:10	-Title Shem has a family. After the flood -quantity two years Shem was 100 years old. At-that-time Shem had a son named Arphaxad.	Genesis
Mark 6:13	The followers/disciples forced [many demons to leave people]. The followers/disciples also put oil/oil-olive on many sick people . And the followers/disciples healed those sick people.	Mark
Genesis 5:1	-Title Adam has a family.  This story is about Adam's family.  [When God created people] (footnote) the people were like God.	Genesis
2 Samuel 4:5	Rekab and Baanah started walking to Ish-Bosheth's house.  Rekab and Baanah were Rimmon's sons. Rimmon was from Beeroth. Those two men arrived at Ish-Bosheth's house in the afternoon.  At that time Ish-Bosheth was sleeping/napping.	2_Samuel
1 Samuel 30:14	We(men) attacked the southern towns [that the Kerethites live in]. And we(men) attacked some places [that are in Judah] and the southern region [that belongs to Caleb]. And we(men) also burned Ziklag."	1_Samuel
Matthew 16:14	_paragraph Those followers/disciples answered, ["Some people say [that you(Jesus) _implicitNecessary are _implicitNecessary John the Baptist]]. Other people say [that you(Jesus) _implicitNecessary are _implicitNecessary Elijah named the prophet _implicitExplainName]. And other people say _implicitNecesssary [that you(Jesus) _implicitNecessary are _implicitNecessary Jeremiah or one of the other _implicit prophets]."	Matthew
1 Samuel 3:18	So Samuel told Eli about all of the things [that Yahweh said to Samuel]. Then Eli said, ["Yahweh is Yahweh]. Yahweh may do all of the things [that Yahweh wants [to do]]."	1_Samuel
Genesis 33:1	-Title Jacob meets Esau. Then Jacob saw [Esau walking towards Jacob].  and 400 men were with Esau. So Jacob divided the wives of Jacob and the children of Jacob into 3 groups.	Genesis
Acts 16:34	Then the  chief guard of the prison led Paul and Silas to the house of the chief guard of the prison. And the chief guard of the prison gave some food to Paul and Silas. All the people [who were in that place] were very happy [because all the people [who were in that place] now believed in God].	Acts
Acts 16:24	[When the chief guard of the prison heard this command], the chief guard of the prison tied Paul and Silas' legs to a piece of wood with chains.	Acts
Nehemiah 11:26	Jeshua, Moladah, Beth-Pelet,	Nehemiah
Esther 5:11	Haman said to Haman's friends and to Haman's wife, ["I(Haman) have a lot of money]. And I(Haman) have many sons. The king honors me(Haman). The king caused [me(Haman) to be more important than the other officials]."	Esther
2 Samuel 19:31	Barzillai was from Gilead. Barzillai came from Rogelim [in order to go across the Jordan River with the king].	2_Samuel
Genesis 5:32	Noah became the father of Shem, Ham and Japheth [when Noah was 500 years old].	Genesis
Genesis 39:1	-Title Potiphar buys Joseph.  At-that-time the people [who bought Joseph from Joseph's brothers] took Joseph to Egypt. An Egyptian man named Potiphar was an officer [who served the king of Egypt]. Potiphar was the captain of the soldiers [who guarded the king's palace]. Potiphar bought Joseph from the people [who brought Joseph to Egypt].	Genesis
Joshua 22:13	So the Israelites sent a man named Phinehas to Gilead.  Phinehas was the son of Eleazar [who was the priest].  Gilead was the region [that the tribes named Reuben, Gad, and Manasseh were living in].	Joshua
Genesis 11:9	The people called that place Babel [because Yahweh confused the people [that lived in that place]]. Babel means to confuse. And Yahweh caused [the people to move from that place to many different places [that are on the earth]].	Genesis
Matthew 27:38	_paragraph The soldiers also hung on crosses _dual 2 thieves beside Jesus. One thief was on-C Jesus's right side. And the other thief was on Jesus's left side.	Matthew
Nehemiah 9:33	Many things happened to us(people). But you(God) always treated us(people) fairly. You(Yahweh) are always faithful to us(people). But we(people) acted badly_morally/wickedly.	Nehemiah
Joshua 19:37	The tribe named Naphtali also owned the towns named Kedesh, Edrei, and En-Hazor.	Joshua
Joshua 10:12	On that day Yahweh caused [the Israelites to defeat the Amorites]. So on that day Joshua stood in-front-of all of the Israelites.  And Joshua said, ["Sun, (imp) you(sun) stay over Gibeon]. Moon, (imp) you(moon) stay over the valley-Aijalon."	Joshua
Mark 4:13	Then Jesus said to those people [(implicit-situational) who asked about the stories/parables], [(rhetorical) "[If you(people) do not understand this story/parable,] then-D how will you(people) understand all the other stories/parables?"] [(statement) "[If you(people) do not understand this story/parable,] then you(people) certainly will not understand all the other stories/parables"].	Mark
Genesis 38:7	But Yahweh killed Er [because Er was evil].	Genesis
